Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
HGAC 174 Wing Gundam Zero,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.7
HGUC 067 RGM-79 Powered GM,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 117 Gouf Custom,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGBB 06 Barbataurus,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGUC 056 Gundam TR-1 Hazel Custom,16,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD:R 001 Earthree Gundam,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 195 Qubeley,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 087 MS-06FZ Zaku II FZ,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD:R 006 Core Gundam (G3 Color) & Veetwo Unit,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGGTO 012 MS-04 Bugu (Ramba Ral),22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 238 Xi Gundam,71,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 038 RGM-79D GM Cold Districts Type,11,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.7
HGUC 154 MS-06R-1A Zaku II Shin Matsunaga,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 222 Narrative Gundam C-Packs,28,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.7
HGCE 231 ZGMG-X19A Infinite Justice Gundam,27,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed Destiny,5.0
HGUC 036 The O,29.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGCE 237 GAT-O2L2 Dagger L,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Seed Destiny,4.5
HGUC 044 Guncannon Mass Production Type,13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.5
HGBF 021 Gundam Ez-SR,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGTO 016 MS-06 Zaku II Type C / C-5,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGIBO 040 Gundam Marchosias,27,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGUC 020 RGM-79 GM,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.2
HGGBB 07 Gundam Ground Urban Combat Type,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.8
HG Gundam RX-78-2 G40 (Industrial Design Ver.),35.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Mobile Suit Gundam,4.3
HGBD:R 013 Jupitive Gundam,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.2
HGGBB 01 Gundam Helios,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGUC 161 Zogok (Unicorn Ver.),22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 175 Unicorn Gundam 02 Banshee Norn (Destroy Mode),25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD:R 024 Saturnix Unit,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
